Date    Price
Jan 81   1.6169
Feb 81   1.6179
Mar 81   1.6165
Apr 81   1.6882
May 81   1.748
Jun 81   1.7511
Jul 81   1.7845
Aug 81   1.7727
Sep 81   1.7719
Oct 81   1.7678
Nov 81   1.7171
Dec 81   1.7499
Jan 82   1.7975
Feb 82   1.8355
Mar 82   1.8722
Apr 82   1.8333
May 82   1.8331
Jun 82   1.9358
Jul 82   1.9312
Aug 82   1.9501
Sep 82   1.9733
Oct 82   2.0046
Nov 82   1.9906
Dec 82   1.9275
Jan 83   1.9464
Feb 83   1.9736
Mar 83   1.9991
Apr 83   1.9909
May 83   1.9989
Jun 83   1.9888
Jul 83   1.9985
Aug 83   1.9902
Sep 83   1.9802
Oct 83   1.984
Nov 83   1.994
Dec 83   1.9859
Jan 84   2.079
Feb 84   2.0519
Mar 84   2.0639
Apr 84   2.1329
May 84   2.2173
Jun 84   2.2529
Jul 84   2.3374
Aug 84   2.4196
Sep 84   2.5746
Oct 84   2.6466
Nov 84   2.7953
Dec 84   2.8027
Jan 85   2.8167
Feb 85   2.8417
Mar 85   2.8269
Apr 85   2.8593
May 85   2.8508
Jun 85   2.8851
Jul 85   2.885
Aug 85   2.9168
Sep 85   2.9755
Oct 85   3.2095
Nov 85   3.2095
Dec 85   3.2095
Jan 86   3.2095
Feb 86   3.2159
Mar 86   3.2288
Apr 86   3.1999
May 86   3.2191
Jun 86   3.2063
Jul 86   3.7129
Aug 86   3.7129
Sep 86   3.724
Oct 86   3.7314
Nov 86   3.7314
Dec 86   3.7314
Jan 87   3.7314
Feb 87   3.7314
Mar 87   3.7314
Apr 87   3.7314
May 87   3.7314
Jun 87   3.7314
Jul 87   3.7314
Aug 87   3.7314
Sep 87   3.7314
Oct 87   3.7314
Nov 87   3.7314
Dec 87   3.7314
Jan 88   3.7314
Feb 88   3.7314
Mar 88   3.7314
Apr 88   3.7314
May 88   3.7314
Jun 88   3.7314
Jul 88   3.7314
Aug 88   3.7314
Sep 88   3.7314
Oct 88   3.7314
Nov 88   3.7314
Dec 88   3.7314
Jan 89   3.7314
Feb 89   3.7314
Mar 89   3.7314
Apr 89   3.7314
May 89   3.7314
Jun 89   3.7314
Jul 89   3.7314
Aug 89   3.7314
Sep 89   3.7314
Oct 89   3.7314
Nov 89   3.7314
Dec 89   4.7339
Jan 90   4.7339
Feb 90   4.7339
Mar 90   4.7339
Apr 90   4.7339
May 90   4.7339
Jun 90   4.7339
Jul 90   4.7339
Aug 90   4.7339
Sep 90   4.7339
Oct 90   4.7339
Nov 90   5.2352
Dec 90   5.2352
Jan 91   5.2352
Feb 91   5.2352
Mar 91   5.2352
Apr 91   5.3036
May 91   5.349
Jun 91   5.369
Jul 91   5.3605
Aug 91   5.3862
Sep 91   5.3899
Oct 91   5.3944
Nov 91   5.4115
Dec 91   5.4478
Jan 92   5.4686
Feb 92   5.4693
Mar 92   5.4675
Apr 92   5.5101
May 92   5.4911
Jun 92   5.4621
Jul 92   5.42
Aug 92   5.4064
Sep 92   5.5002
Oct 92   5.5525
Nov 92   5.7198
Dec 92   5.7518
Jan 93   5.775
Feb 93   5.7402
Mar 93   5.719
Apr 93   5.7084
May 93   5.729
Jun 93   5.7612
Jul 93   5.7612
Aug 93   5.7883
Sep 93   5.7868
Oct 93   5.7941
Nov 93   5.8122
Dec 93   5.8
Jan 94   8.7
Feb 94   8.7055
Mar 94   8.708
Apr 94   8.7072
May 94   8.6596
Jun 94   8.6517
Jul 94   8.6197
Aug 94   8.5591
Sep 94   8.53
Oct 94   8.526
Nov 94   8.509
Dec 94   8.4462
Jan 95   8.4384
Feb 95   8.4311
Mar 95   8.4264
Apr 95   8.4074
May 95   8.3055
Jun 95   8.3011
Jul 95   8.3003
Aug 95   8.3198
Sep 95   8.3185
Oct 95   8.3149
Nov 95   8.3116
Dec 95   8.3174
Jan 96   8.3138
Feb 96   8.3211
Mar 96   8.3338
Apr 96   8.3301
May 96   8.3255
Jun 96   8.3221
Jul 96   8.3107
Aug 96   8.3063
Sep 96   8.3017
Oct 96   8.3
Nov 96   8.3012
Dec 96   8.2984
Jan 97   8.2934
Feb 97   8.2954
Mar 97   8.2955
Apr 97   8.2945
May 97   8.2921
Jun 97   8.2907
Jul 97   8.2903
Aug 97   8.2884
Sep 97   8.2849
Oct 97   8.2834
Nov 97   8.2796
Dec 97   8.2796
Jan 98   8.2785
Feb 98   8.2789
Mar 98   8.2793
Apr 98   8.2779
May 98   8.2793
Jun 98   8.2797
Jul 98   8.2799
Aug 98   8.28
Sep 98   8.278
Oct 98   8.2778
Nov 98   8.2782
Dec 98   8.2789
Jan 99   8.2778
Feb 99   8.279
Mar 99   8.28
Apr 99   8.279
May 99   8.2784
Jun 99   8.2787
Jul 99   8.2774
Aug 99   8.277
Sep 99   8.2778
Oct 99   8.2778
Nov 99   8.2789
Dec 99   8.2795
Jan 00   8.2777
