Date   Price
Jan 81   8.1
Feb 81   8.33
Mar 81   8.27
Apr 81   8.33
May 81   8.48
Jun 81   8.62
Jul 81   9
Aug 81   9.05
Sep 81   9.12
Oct 81   9.13
Nov 81   9.12
Dec 81   9.13
Jan 82   9.14
Feb 82   9.31
Mar 82   9.35
Apr 82   9.35
May 82   9.39
Jun 82   9.53
Jul 82   9.56
Aug 82   9.63
Sep 82   9.71
Oct 82   9.71
Nov 82   9.74
Dec 82   9.62
Jan 83   9.91
Feb 83   9.96
Mar 83   10.02
Apr 83   10
May 83   9.98
Jun 83   10.09
Jul 83   10.14
Aug 83   10.22
Sep 83   10.2
Oct 83   10.29
Nov 83   10.42
Dec 83   10.49
Jan 84   10.76
Feb 84   10.69
Mar 84   10.76
Apr 84   10.93
May 84   11.05
Jun 84   11.22
Jul 84   11.55
Aug 84   11.6
Sep 84   11.92
Oct 84   12.12
Nov 84   12.29
Dec 84   12.38
Jan 85   12.67
Feb 85   12.93
Mar 85   12.2
Apr 85   12.43
May 85   12.47
Jun 85   12.4
Jul 85   11.8
Aug 85   11.96
Sep 85   11.97
Oct 85   12.05
Nov 85   12.05
Dec 85   12.11
Jan 86   12.34
Feb 86   12.27
Mar 86   12.31
Apr 86   12.3
May 86   12.77
Jun 86   12.42
Jul 86   12.58
Aug 86   12.54
Sep 86   12.77
Oct 86   12.98
Nov 86   13.1
Dec 86   13.12
Jan 87   13.04
Feb 87   13.05
Mar 87   12.94
Apr 87   12.65
May 87   12.84
Jun 87   12.89
Jul 87   13.11
Aug 87   13.05
Sep 87   13.11
Oct 87   12.99
Nov 87   12.89
Dec 87   12.75
Jan 88   13.08
Feb 88   13.06
Mar 88   12.96
Apr 88   13.21
May 88   13.47
Jun 88   14.07
Jul 88   14.17
Aug 88   14.36
Sep 88   14.55
Oct 88   14.97
Nov 88   14.95
Dec 88   14.99
Jan 89   15.18
Feb 89   15.35
Mar 89   15.63
Apr 89   15.86
May 89   16.28
Jun 89   16.49
Jul 89   16.44
Aug 89   16.65
Sep 89   16.69
Oct 89   16.88
Nov 89   16.86
Dec 89   16.84
Jan 90   16.88
Feb 90   16.96
Mar 90   17.18
Apr 90   17.3
May 90   17.378
Jun 90   17.489
Jul 90   17.393
Aug 90   17.552
Sep 90   18.08
Oct 90   18.157
Nov 90   18.187
Dec 90   18.136
Jan 91   18.655
Feb 91   19.075
Mar 91   19.617
Apr 91   20.212
May 91   20.91
Jun 91   21.202
Jul 91   25.88
Aug 91   25.8
Sep 91   25.803
Oct 91   25.8
Nov 91   25.81
Dec 91   25.795
Jan 92   26.001
Feb 92   26.287
Mar 92   31.348
Apr 92   30.576
May 92   30.604
Jun 92   30.84
Jul 92   30.098
Aug 92   30.349
Sep 92   30.048
Oct 92   30.062
Nov 92   30.289
Dec 92   30.831
Jan 93   31.377
Feb 93   32.868
Mar 93   31.201
Apr 93   31.343
May 93   31.377
Jun 93   31.365
Jul 93   31.368
Aug 93   31.377
Sep 93   31.37
Oct 93   31.371
Nov 93   31.371
Dec 93   31.369
Jan 94   31.366
Feb 94   31.365
Mar 94   31.37
Apr 94   31.367
May 94   31.37
Jun 94   31.37
Jul 94   31.37
Aug 94   31.369
Sep 94   31.363
Oct 94   31.376
Nov 94   31.395
Dec 94   31.369
Jan 95   31.375
Feb 95   31.426
Mar 95   31.415
Apr 95   31.433
May 95   31.425
Jun 95   31.4
Jul 95   31.415
Aug 95   31.855
Sep 95   33.925
Oct 95   34.2
Nov 95   34.895
Dec 95   35.165
Jan 96   36.45
Feb 96   34.685
Mar 96   34.1
Apr 96   34.65
May 96   34.95
Jun 96   34.95
Jul 96   35.55
Aug 96   35.65
Sep 96   35.65
Oct 96   35.7
Nov 96   35.722
Dec 96   35.85
Jan 97   35.85
Feb 97   35.86
Mar 97   35.875
Apr 97   35.76
May 97   35.77
Jun 97   35.8
Jul 97   35.7
Aug 97   36.405
Sep 97   36.175
Oct 97   36.35
Nov 97   38.8
Dec 97   39.2
Jan 98   38.65
Feb 98   39.35
Mar 98   39.505
Apr 98   39.715
May 98   41.65
Jun 98   42.4
Jul 98   42.55
Aug 98   42.525
Sep 98   42.43
Oct 98   42.375
Nov 98   42.56
Dec 98   42.47
Jan 99   42.49
Feb 99   42.68
Mar 99   42.405
Apr 99   42.81
May 99   42.85
Jun 99   43.38
Jul 99   43.35
Aug 99   43.495
Sep 99   43.63
Oct 99   43.42
Nov 99   43.405
Dec 99   43.5
Jan 00   43.625
Feb 00   43.614
Mar 00   43.6
Apr 00   43.65
May 00   44.575
Jun 00   44.65
Jul 00   45.05
Aug 00   45.805
Sep 00   45.98
Oct 00   46.845
Nov 00   46.87
Dec 00   46.68
Jan 01   46.39
Feb 01   46.54
Mar 01   46.71
Apr 01   46.84
May 01   47
Jun 01   47.04
Jul 01   47.13
Aug 01   47.12
Sep 01   47.85
Oct 01   47.99
Nov 01   47.93
Dec 01   48.22
Jan 02   48.51
Feb 02   48.71
Mar 02   48.78
Apr 02   48.93
May 02   49.01
Jun 02   48.86
Jul 02   48.64
Aug 02   48.47
Sep 02   48.35
Oct 02   48.34
Nov 02   48.31
Dec 02   47.95
Jan 03   47.8
Feb 03   47.61
Mar 03   47.48
Apr 03   47.32
May 03   47.02
Jun 03   46.41
Jul 03   46.165
Aug 03   45.86
Sep 03   45.65
Oct 03   45.32
Nov 03   45.77
Dec 03   45.625
Jan 04   45.27
Feb 04   45.205
Mar 04   43.35
Apr 04   44.47
May 04   45.48
Jun 04   45.975
Jul 04   46.375
Aug 04   46.315
Sep 04   45.925
Oct 04   45.335
Nov 04   44.5
Dec 04   43.25
Jan 05   43.645
Feb 05   43.635
Mar 05   43.675
Apr 05   43.43
May 05   43.7
Jun 05   43.485
Jul 05   43.44
Aug 05   44.015
Sep 05   43.955
Oct 05   45.07
Nov 05   45.89
Dec 05   44.995
Jan 06   43.925
Feb 06   44.275
Mar 06   44.5
Apr 06   44.9
May 06   46.305
Jun 06   45.88
Jul 06   46.5
Aug 06   46.48
Sep 06   45.91
Oct 06   44.92
Nov 06   44.6
Dec 06   44.115
Jan 07   44.08
Feb 07   44.09
Mar 07   43.12
Apr 07   41.045
May 07   40.375
Jun 07   40.525
Jul 07   40.19
Aug 07   40.64
Sep 07   39.66
Oct 07   39.195
Nov 07   39.52
Dec 07   39.405
Jan 08   39.28
Feb 08   39.92
Mar 08   40.03
Apr 08   40.46
May 08   42.16
Jun 08   42.93
Jul 08   42.483
Aug 08   43.87
Sep 08   46.815
Oct 08   49.325
Nov 08   49.575
Dec 08   48.62
Jan 09   48.85
Feb 09   51.005
Mar 09   50.57
Apr 09   49.725
May 09   47.12
Jun 09   47.75
Jul 09   47.825
Aug 09   48.69
Sep 09   47.735
Oct 09   46.925
Nov 09   46.535
Dec 09   46.41
Jan 10   46.125
Feb 10   46.105
Mar 10   44.825
Apr 10   44.275
May 10   46.365
Jun 10   46.445
Jul 10   46.405
Aug 10   47.065
Sep 10   44.57
Oct 10   44.31
Nov 10   45.78
Dec 10   44.7
Jan 11   45.8
Feb 11   45.26
Mar 11   44.52
Apr 11   44.24
May 11   45.055
Jun 11   44.69
Jul 11   44.2
Aug 11   45.79
Sep 11   49.01
Oct 11   48.69
Nov 11   52.12
Dec 11   53.01
Jan 12   49.5
Feb 12   49.1
Mar 12   50.87
Apr 12   52.65
May 12   56.03
Jun 12   55.5
Jul 12   55.55
Aug 12   55.52
Sep 12   52.84
Oct 12   53.8
Nov 12   54.26
Dec 12   54.99
Jan 13   53.26
Feb 13   54.365
Mar 13   54.28
Apr 13   53.68
May 13   56.57
Jun 13   59.523
Jul 13   60.84
Aug 13   65.7
Sep 13   62.575
Oct 13   61.614
Nov 13   62.389
Dec 13   61.8
Jan 14   62.68
Feb 14   61.79
Mar 14   60.005
Apr 14   60.34
May 14   59.18
Jun 14   60.045
Jul 14   60.55
Aug 14   60.505
Sep 14   61.925
Oct 14   61.39
Nov 14   62.195
Dec 14   63.03
Jan 15   62.01
Feb 15   61.649
Mar 15   62.281
Apr 15   63.52
May 15   63.733
Jun 15   63.594
Jul 15   63.978
Aug 15   66.402
Sep 15   65.507
Oct 15   65.413
Nov 15   66.452
Dec 15   66.198
Jan 16   67.868
Feb 16   68.198
Mar 16   66.25
Apr 16   66.415
May 16   67.199
Jun 16   67.493
Jul 16   66.63
Aug 16   66.963
